교과목명,학정번호,학점
CREATIVE THINKING AND VISUALIZATION,CDM1003,3
DESIGN & CITY IN CULTURE,CDM1011,3
CULTURE AND DESIGN TRENDS,CDM2001,3
DESIGN 1: ELEMENTS AND ORGANIZATION,CDM2002,3
THEORY AND PRACTICE OF CULTURAL STUDIES,CDM2003,3
INTRODUCTION TO CULTURE AND DESIGN BUSINESS,CDM2004,3
DESIGN 2: DESIGN AND TECHNOLOGY,CDM2005,3
CONTEMPORARY TOPICS IN CULTURAL INDUSTRY,CDM2006,3
HISTORY OF MODERN AND CONTEMPORARY DESIGN,CDM2007,3
DESIGN RESEARCH,CDM2008,3
ORGANIZATION AND PLANNING OF EXHIBITION,CDM2009,3
DIGITAL DESIGN,CDM2010,3
ART THEORY AND VISUAL CULTURE,CDM2011,3
INTRODUCTION TO MARKETING,CDM2012,3
SERVICE DESIGN,CDM3001,3
KOREAN CULTURE AND AESTHETICS,CDM3002,3
DESIGN 3: DESIGN AND PROTOTYPING,CDM3003,3
DESIGN PROJECT MANAGEMENT,CDM3005,3
DESIGN INNOVATION,CDM3006,3
DESIGN 4: NEW PRODUCT DEVELOPMENT PROCESS,CDM3007,3
ART AND CULTURE MARKETING,CDM3008,3
INTEGRATED BRAND MANAGEMENT AND VMD,CDM3009,3
CULTURE AND SERVICE DESIGN,CDM3010,3
DESIGN THINKING,CDM3012,3
TYPOGRAPHY DESIGN,CDM3014,3
FOUNDATIONS OF MARKETING,CDM3015,3
STRATEGIC MARKETING,CDM4003,3
ACADEMIC-INDUSTRY PROJECT,CDM4004,6
ART MANAGEMENT,CDM4006,3
SOCIAL INNOVATION FOR SUSTAINABILITY,CDM4008,3
ART AND SOCIAL ENTERPRISE,CDM4009,3
DESIGN BUSINESS,CDM4010,3
BRAND MEDIA MANAGEMENT,CDM4011,3
INTERDISCIPLINARY DESIGN MANAGEMENT,CDM4012,3
사회환경메가스트럭처기획ⓟ,CEE1102,3
정역학및고체역학,CEE2002,3
기초유체역학,CEE3201,3
측량학,CEE3202,3
생태시스템공학,CEE3203,3
